title,authors,year,population_age,language_level,setting,target,outcome_family,study_design,comparator,followup_length,sample_size,sessions_info
Antipsychotics in the treatment of autism,"David J. Posey, Kimberly A. Stigler, Craig A. Erickson, and Christopher J. McDougle",,3 to 21 years,[],[],"['irritability', 'aggression', 'hyperactivity']","['Aberrant Behavior Checklist', 'Clinical Global Impression–Improvement']",,,,487,
Korean Practice Guideline for Autism Spectrum Disorder,"Jung-Woo Son, Seok-Hyun Nam",2024,,[],[],"['social communication', 'developmental disabilities', 'individual treatment plan']",[],guideline,,,0,
The role of drugs in the treatment of autism,Melanie Turner,2020,under seven or eight years,[],[],"['irritability', 'aggression', 'anxiety', 'sleep']",[],,,,0,
Diagnosis and treatment of children and adolescents with autism and ADHD,"Burt Hatch, Girija Kadlaskar, Meghan Miller",2022,children and adolescents,[],"['clinic', 'school']","['social communication', 'behavioral management', 'school-based interventions', 'social skills development']","['validated parent and teacher rating scales', 'cognitive assessments', 'behavior observations']",review,none,not specified,0,not specified
ESCAP practice guidance for autism: a summary of evidence‑based recommendations for diagnosis and treatment,"Joaquin Fuentes, Amaia Hervás, Patricia Howlin",2021,all ages,[],[],[],[],narrative review,,,0,
Pivotal Response Treatment with and without robot‑assistance for children with autism: a randomized controlled trial,"Iris van den Berk‑Smeekens, Manon W. P. de Korte, Martine van Dongen‑Boomsma, Iris J. Oosterling, Jenny C. den Boer, Emilia I. Barakova, Tino Lourens, Jeffrey C. Glennon, Wouter G. Staal, Jan K. Buitelaar",2021,3–8 years,[],['clinic'],['social communication'],"['parent-rated general social-communicative skills', 'teacher-rated general social-communicative skills', 'blindly rated global functioning']",randomized controlled trial,treatment-as-usual (TAU),3 months,73,10 and 20 weeks of intervention
The Effect of Pivotal Response Treatment in Children with Autism Spectrum Disorders: A Non-randomized Study with a Blinded Outcome Measure,"E. A. Duifhuis, J. C. den Boer, A. Doornbos, J. K. Buitelaar, I. J. Oosterling, H. Klip",2017,3–8 years,[],[],['autism symptoms'],['Autism Diagnostic Observation Schedule'],quasi-experimental trial,treatment as usual,,24,
Longitudinal Epidemiological Study of Autism Subgroups Using Autism Treatment Evaluation Checklist (ATEC) Score,"Shreyas Mahapatra, Edward Khokhlovich, Samantha Martinez, Benjamin Kannel, Stephen M. Edelson, Andrey Vyshedskiy",2020,2–3 years,[],[],"['ASD severity', 'communication', 'sociability', 'sensory awareness', 'health/physical behavior']",['ATEC scores'],observational cohort,,4 years,0,
"An Overview of Autism Spectrum Disorder, Heterogeneity and Treatment Options","Anne Masi, Marilena M. DeMayo, Nicholas Glozier, Adam J. Guastella",2017,2 years and 4 months to 11 years,[],[],[],[],review,,,0,
Comprehensive ABA-based interventions in the treatment of children with autism spectrum disorder – a meta-analysis,"Theresa Eckes, Ulrike Buhlmann, Heinz‑Dieter Holling, Anne Möllmann",2023,3 to 4 years,[],[],"['intellectual functioning', 'adaptive behavior']",[],meta-analysis,"treatment as usual, minimal or no treatment",,632,20 – 40 h/week
Cannabinoid treatment for autism: a proof-of-concept randomized trial,"Adi Aran, Moria Harel, Hanoch Cassuto, Lola Polyansky, Aviad Schnapp, Nadia Wattad, Dorit Shmueli, Daphna Golan, F. Xavier Castellanos",2021,5–21 years,[],[],"['behavioral problems', 'disruptive behavior']","['Home Situation Questionnaire-ASD', 'Clinical Global Impression-Improvement scale', 'Social Responsiveness Scale', 'Autism Parenting Stress Index']",randomized controlled trial,placebo,12 weeks,150,12-weeks treatment followed by a 4-week washout and predetermined cross-over for another 12 weeks
"Autism spectrum disorder: psychological and functional assessment, and behavioral treatment approaches","Summer S. Chahin, Roger W. Apple, Kailin H. Kuo, Cheryl A. Dickson",2020,,[],[],[],[],,,,0,
